Label,Total population,age_group_0_17_no_covid,age_group_18_49_no_covid,age_group_50_64_no_covid,age_group_65plus_no_covid
AL,4903185,1055957,1867632,902799,809675
AK,731545,172991,294624,131126,86168
AZ,7278717,1574800,2700769,1192946,1233043
AR,3017804,673941,1129382,528694,495146
CA,39512223,8588307,16064493,6776959,5571084
CO,5758736,1228370,2431323,998503,810518
CT,3565287,708899,1355876,729114,598518
DE,973764,196929,353532,186060,182007
DC,705749,126822,374529,102051,84550
FL,21477737,4158464,8026351,4078812,4362457
GA,10617423,2449835,4312629,1889325,1463029
HI,1415872,298042,573533,259773,267422
ID,1787065,434544,646116,293060,268823
IL,12671821,2703404,4805115,2242077,1898153
IN,6732219,1517585,2522231,1182828,1002000
IA,3155070,686605,1104269,535050,506019
KS,2913314,675056,1070667,492260,442691
KY,4467673,985984,1741636,845855,724963
LA,4648794,1084416,1941053,866889,737012
ME,1344212,243842,496678,297640,281541
MD,6045680,1311617,2398349,1184871,927863
MA,6892503,1308835,2762784,1326424,1110005
MI,9986857,2116727,3871529,1972637,1707924
MN,5639632,1251223,2083910,1015935,864530
MS,2976149,693628,1202756,550921,477634
MO,6137428,1368508,2468389,1193238,1048326
MT,1068778,216914,381389,193984,194364
NE,1934408,463253,737417,328823,297462
NV,3080156,666124,1178974,533779,473315
NH,1359711,251323,522801,304625,245182
NJ,8882190,1889108,3351467,1710320,1385908
NM,2096829,454630,774771,363340,360624
NY,19453561,3911200,7634726,3585504,3088616
NC,10488084,2228856,4099665,1913220,1665542
ND,762062,174938,317688,129026,117137
OH,11689100,2519387,4365979,2183131,1917175
OK,3956971,914706,1489116,656808,591248
OR,4217737,849712,1732423,763979,752809
PA,12801989,2580677,4807632,2494778,2259586
RI,1059361,200124,424976,215228,179937
SC,5148714,1077682,1916859,945870,881759
SD,884659,208971,318949,153611,145880
TN,6829174,1438074,2537985,1211414,1053864
TX,28995881,7393357,12835093,4965956,3731671
UT,3205958,884520,1276804,408904,341656
VT,623989,112835,245879,134675,124225
VA,8535519,1823500,3446687,1596390,1309190
WA,7614893,1633412,3174197,1368618,1177614
WV,1792147,358103,691012,368701,365987
WI,5822434,1215226,2114768,1102018,956166
WY,578759,134009,236379,108480,98666
