Label,Total population,sex_male_no_covid,sex_female_no_covid
AL,4903185,2184313,2386012
AK,731545,358539,327258
AZ,7278717,3321441,3383454
AR,3017804,1379621,1457837
CA,39512223,18363065,18670420
CO,5758736,2759034,2719391
CT,3565287,1653314,1741297
DE,973764,441100,478077
DC,705749,325220,362805
FL,21477737,10055817,10580038
GA,10617423,4911693,5229814
HI,1415872,699666,699408
ID,1787065,826537,824314
IL,12671821,5695469,5983508
IN,6732219,3056255,3183872
IA,3155070,1406187,1440438
KS,2913314,1328179,1360180
KY,4467673,2113095,2196529
LA,4648794,2257314,2372660
ME,1344212,644129,677125
MD,6045680,2813378,3013359
MA,6892503,3145320,3368259
MI,9986857,4756092,4926007
MN,5639632,2594789,2639765
MS,2976149,1407546,1521297
MO,6137428,2977459,3103530
MT,1068778,495413,494078
NE,1934408,911039,919757
NV,3080156,1429388,1426252
NH,1359711,654825,670495
NJ,8882190,4062418,4274647
NM,2096829,966565,995338
NY,19453561,8822724,9412319
NC,10488084,4795986,5133391
ND,762062,375706,363810
OH,11689100,5362557,5643242
OK,3956971,1803789,1852919
OR,4217737,2031914,2074180
PA,12801989,5921169,6230774
RI,1059361,496538,525570
SC,5148714,2316188,2522676
SD,884659,421007,408979
TN,6829174,3024302,3237422
TX,28995881,14362294,14566175
UT,3205958,1464251,1451216
VT,623989,306288,312257
VA,8535519,4022564,4169695
WA,7614893,3682426,3684743
WV,1792147,881641,902465
WI,5822434,2672237,2729119
WY,578759,295376,282248
